commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,turnover,volume
0.2529153,2018-06-06 15:16:00,1,14.02,2018-06-06 19:06:00,2,14.0817,-138.76291530000003,120.0,8430.51,-1
0.2524536,2018-06-08 00:00:00,3,13.9116,2018-06-08 04:47:00,4,14.1388,-52.09245360000004,120.0,8415.12,1
0.17754569999999997,2018-06-22 09:46:00,5,10.2073,2018-06-22 16:01:00,6,9.52,86.01245430000014,120.0,5918.19,-1
0.16215480000000002,2018-07-05 17:31:00,7,8.9829,2018-07-05 19:23:00,8,9.0343,-104.74215480000024,120.0,5405.160000000001,1
0.15335009999999996,2018-07-07 13:01:00,9,8.6401,2018-07-08 05:32:00,10,8.3988,-47.76335009999978,120.0,5111.669999999999,-1
0.1232694,2018-07-12 10:16:00,11,6.9679,2018-07-12 15:01:00,12,6.7287,-48.36326939999991,120.0,4108.9800000000005,-1
0.1614573,2018-07-19 01:16:00,13,8.932,2018-07-19 02:18:00,14,9.0077,-97.45145730000017,120.0,5381.910000000001,1
0.1485738,2018-07-28 22:37:00,15,8.200000000000001,2018-07-29 00:03:00,16,8.3082,-152.60857379999948,120.0,4952.460000000001,-1
0.08766899999999998,2018-08-24 00:16:00,18,4.9063,2018-08-24 00:52:00,19,4.8347,-141.56766900000002,120.0,2922.2999999999997,1
0.113274,2018-09-05 17:16:00,20,6.4912,2018-09-05 18:14:00,21,6.0948,-1.193274000000045,120.0,3775.8,-1
0.0959373,2018-09-15 15:16:00,22,5.2534,2018-09-15 19:04:00,23,5.4063,-74.22593730000006,120.0,3197.9100000000003,1
0.09462419999999999,2018-10-13 05:16:00,24,5.2346,2018-10-13 08:09:00,25,5.2792,-133.4746242,120.0,3154.14,-1
0.1000539,2018-10-16 13:31:00,26,5.5588,2018-10-16 16:05:00,27,5.5583,-120.25005389999991,120.0,3335.13,1
0.09760319999999997,2018-10-27 15:31:00,28,5.4448,2018-10-29 19:21:00,38,5.4,-106.65760320000015,120.0,3253.4399999999996,-1
0.093366,2018-10-30 23:46:00,39,5.1508,2018-10-31 23:37:00,42,5.2232,-141.813366,120.0,3112.2000000000003,-1
